baby laughter
people whistling
female speech
people booing
people crowd
child singing
female singing
child speech
people sniggering
people burping
people cheering
people clapping
typing on typewriter
vacuum cleaner cleaning floors
basketball bounce
roller coaster running
bowling impact
chicken crowing
lions roaring
gibbon howling
bird chirping
goose honking
dog barking
mynah bird singing
woodpecker pecking tree
frog croaking
cricket chirping
horse clip-clop
crow cawing
cattle mooing
cat purring
turkey gobbling
playing mandolin
playing bass guitar
playing banjo
playing drum kit
playing glockenspiel
playing synthesizer
playing harp
playing bassoon
playing cymbal
playing saxophone
playing sitar
playing acoustic guitar
playing electric guitar
playing violin
singing bowl
playing bass drum
playing piano
race car
train horning
engine accelerating
helicopter
driving buses
airplane flyby
motorboat
ambulance siren
fire truck siren
slot machine
electric shaver
chainsawing trees
arc welding
volcano explosion
fireworks banging
ocean burbling
church bell ringing
missile launch
