airplane flyby
ambulance siren
arc welding
baby laughter
basketball bounce
bird chirping
bowling impact
cat purring
cattle mooing
chainsawing trees
chicken crowing
child singing
child speech
church bell ringing
cricket chirping
crow cawing
dog barking
driving buses
electric shaver
engine accelerating
female singing
female speech
fire truck siren
fireworks banging
frog croaking
gibbon howling
goose honking
helicopter
horse clip-clop
lions roaring
missile launch
motorboat
mynah bird singing
ocean burbling
people booing
people burping
people cheering
people clapping
people crowd
people sniggering
people whistling
playing acoustic guitar
playing banjo
playing bass drum
playing bass guitar
playing bassoon
playing cymbal
playing drum kit
playing electric guitar
playing glockenspiel
playing harp
playing mandolin
playing piano
playing saxophone
playing sitar
playing synthesizer
playing violin
race car
roller coaster running
singing bowl
slot machine
train horning
turkey gobbling
typing on typewriter
vacuum cleaner cleaning floors
volcano explosion
woodpecker pecking tree
other
