airplane flyby
ambulance siren
arc welding
bowling impact
cat purring
cattle mooing
child singing
child speech
cricket chirping
crow cawing
engine accelerating
female speech
fire truck siren
fireworks banging
frog croaking
gibbon howling
horse clip-clop
missile launch
motorboat
mynah bird singing
ocean burbling
people booing
people burping
people cheering
people crowd
people sniggering
people whistling
playing acoustic guitar
playing banjo
playing bass drum
playing bass guitar
playing cymbal
playing glockenspiel
playing harp
playing mandolin
playing sitar
playing synthesizer
playing violin
race car
roller coaster running
singing bowl
slot machine
turkey gobbling
typing on typewriter
volcano explosion
woodpecker pecking tree
other
