split,cls_name,cls_type,vid_name
train,cricket chirping,close,QhkgKuVdJl8
train,cricket chirping,close,g_NwDuMjR2s
train,cricket chirping,close,SzHOjOjY8Qc
train,cricket chirping,close,L7celbM1XuM
train,cricket chirping,close,Olfg9KK_bmE
train,cricket chirping,close,Bjcg4eCcihE
train,cricket chirping,close,8Hl_v__HwbQ
train,cricket chirping,close,9cZ_SO9Rduc
train,cricket chirping,close,KgVpyBSzn2c
train,cricket chirping,close,3la_W7DqDuA
train,cricket chirping,close,ObktirfMcns
train,cricket chirping,close,xnMI64kXQA8
train,cricket chirping,close,gSD3LPeFLKg
train,cricket chirping,close,D8HhW-CwTj4
train,cricket chirping,close,EQ-lnted3yk
train,cricket chirping,close,kPYmmQ1LYFk
train,cricket chirping,close,zY0nYmHqd4c
train,cricket chirping,close,fuBieeAyOvw
train,cricket chirping,close,TBLrH5OTCuI
train,cricket chirping,close,TxlWDRbWh2Y
train,cricket chirping,close,GFsnL0wrdK0
train,cricket chirping,close,OebTD1Qqjys
train,cricket chirping,close,HuXH7Ry6NZE
train,cricket chirping,close,OfFa5HQGhPE
train,cricket chirping,close,BhfP_bhJjrk
train,cricket chirping,close,kT2s8O09ksc
train,cricket chirping,close,50jxPCLUFdU
train,cricket chirping,close,fgUM5gkv1c0
train,cricket chirping,close,ZCTyEgLwRaI
train,cricket chirping,close,lYqab5Hukls
train,cricket chirping,close,YxUzvyYu7j4
train,cricket chirping,close,1uZqlQlbm88
train,cricket chirping,close,O0WbAf-2V_E
train,cricket chirping,close,S1t06aElmbY
train,cricket chirping,close,0cLsy6ST01c
train,cricket chirping,close,j6tWyFyoDjU
train,cricket chirping,close,V5VSADgkhlc
train,cricket chirping,close,pBfzkHBU_Ks
train,cricket chirping,close,G5yYzGt2OGM
train,cricket chirping,close,bJUoDPxCWvo
train,cricket chirping,close,NnwljltVpi4
train,cricket chirping,close,CQFEY9RIRJA
train,cricket chirping,close,KTvZ9xbh-8o
train,cricket chirping,close,XWa9vdfz2YA
train,cricket chirping,close,nl6x3fnfGeE
train,cricket chirping,close,kT4P7p4PqtM
train,cricket chirping,close,iua8SG7ZLfU
train,cricket chirping,close,f-HYYMb60iI
train,cricket chirping,close,-ctJ8Ot7EgU
train,cricket chirping,close,Bbnt3nKDZiI
train,cricket chirping,close,XGEecZOj5wU
train,cricket chirping,close,4_CGxibyXYY
train,cricket chirping,close,xBt5nNsL4v0
train,cricket chirping,close,MLnh7GfXXYM
train,cricket chirping,close,KuLCZMInGqc
train,cricket chirping,close,NGhuRtA66es
train,cricket chirping,close,1avhzpbzQZ4
train,cricket chirping,close,F1yTccUvrZc
train,cricket chirping,close,T3qUoDJ0DXY
train,cricket chirping,close,1x0jJYm2x7Q
train,cricket chirping,close,g2FNFjPS4vQ
train,cricket chirping,close,teat8XuzuU4
train,cricket chirping,close,y5L9GGKftEI
train,cricket chirping,close,BYh_auhLbdI
train,cricket chirping,close,DdtkM2O7GgU
train,cricket chirping,close,9fDwr5rQGp4
train,cricket chirping,close,oVL82zuPbLU
train,cricket chirping,close,jyq1E0b4_hk
train,cricket chirping,close,iU178KINQJU
train,cricket chirping,close,cS3lHq1tjWY
train,cricket chirping,close,4UkCQbFYBMg
train,cricket chirping,close,dIoCJ1jxoxw
train,cricket chirping,close,jdZNPfaXGCk
train,cricket chirping,close,6eRAzL2l_9s
train,cricket chirping,close,HuJ0X4FZfUo
train,cricket chirping,close,Nl3Z4WyoiXw
train,cricket chirping,close,L0rLc1jFYzo
train,cricket chirping,close,pR8-zoLd5t0
train,cricket chirping,close,WR1nK0Spo0c
train,cricket chirping,close,a_WQFseeFYA
train,cricket chirping,close,Vhm0qVsTv7E
train,cricket chirping,close,KeXGVek4jF4
train,crow cawing,close,-rU5ToWaaNo
train,crow cawing,close,m_qmYPGLLMA
train,crow cawing,close,CjuYza6dsvs
train,crow cawing,close,h9187muduj4
train,crow cawing,close,tbcTSjauTJI
train,crow cawing,close,h_FFd5V2554
train,crow cawing,close,iMmu1e8ZGiE
train,crow cawing,close,_rBejk3purI
train,crow cawing,close,iFDx21JHJTk
train,crow cawing,close,0rTUm59eULg
train,crow cawing,close,hRHKxyErgZw
train,crow cawing,close,fWJhKQ7XO78
train,crow cawing,close,7I2yJgXKncw
train,crow cawing,close,4YQ-LNB_xFE
train,crow cawing,close,WTozU_DhxMY
train,crow cawing,close,dciCzFRSndk
train,crow cawing,close,2VhJtjO0LPk
train,crow cawing,close,H3wA5FI_6XA
train,crow cawing,close,H8v4jmjeSpE
train,crow cawing,close,Z6RAeTmdbZc
train,crow cawing,close,K-TGv8cy9mw
train,crow cawing,close,23SOKQRDcxM
train,crow cawing,close,-M9But-Hb_A
train,crow cawing,close,65cECSnCWvc
train,crow cawing,close,kVPS5ZcRUME
train,crow cawing,close,eb4hU1phVv4
train,crow cawing,close,8L2k8njiUI8
train,crow cawing,close,hwoPWDdabM8
train,crow cawing,close,bd-GyU-S6Dk
train,crow cawing,close,Q-fgFvFNLYM
train,crow cawing,close,v6sF_ZRncW8
train,crow cawing,close,BEVFs5sELVc
train,crow cawing,close,FrR_GiW0fNA
train,crow cawing,close,3kPRwuV0mxc
train,crow cawing,close,UODYGoeke_Q
train,crow cawing,close,u9F4gf6m9IU
train,crow cawing,close,IyT1MMnWRgA
train,crow cawing,close,5Crg7Sc80Bg
train,crow cawing,close,I8-mgqpnSXU
train,crow cawing,close,l6Clr392KTo
train,crow cawing,close,YY_oqUNWT4M
train,crow cawing,close,OY_A3y0H2mQ
train,crow cawing,close,hcGQrvcYZc8
train,crow cawing,close,7Tj3W6hR_b8
train,crow cawing,close,Val8dr8THaI
train,crow cawing,close,1K4Na7vHsyc
train,crow cawing,close,_SfgI0CrvNg
train,crow cawing,close,EtIjRX4X6_E
train,crow cawing,close,pUTXVhvmOYo
train,crow cawing,close,SmloArxVhEU
train,crow cawing,close,f7SuU_RrXF0
train,crow cawing,close,IeoZ2yjTmMY
train,crow cawing,close,0sFKwxue2iw
train,crow cawing,close,2YuaElNCUZ8
train,crow cawing,close,pVifgTOlWp0
train,crow cawing,close,m0yyvYBJv7c
train,crow cawing,close,oL5nhdgsw2w
train,crow cawing,close,x9GrNq2_yWI
train,crow cawing,close,rFbLbC5x8iQ
train,crow cawing,close,fJAs7iJhalE
train,crow cawing,close,GPJLFwrzGxw
train,crow cawing,close,K6UW_LgkIjs
train,crow cawing,close,1tobDIRRV0A
train,crow cawing,close,_VWW4Ou40HE
train,crow cawing,close,TLv1ss4AX1o
train,crow cawing,close,FYOptEyyKdE
train,crow cawing,close,Yl2ejQUbhfM
train,crow cawing,close,9BK3VKfa3qE
train,crow cawing,close,e6m1W0TdImw
train,crow cawing,close,I7JquYRmkao
train,crow cawing,close,p7sRelLskCY
train,crow cawing,close,Z8-km9Oy4iI
train,crow cawing,close,rpWymQpRU2c
train,crow cawing,close,WrSpubuVkN0
train,crow cawing,close,VwSDrqa6RP0
train,crow cawing,close,fwm7Ir2R8Z8
train,crow cawing,close,XL6Q32PvAXw
train,crow cawing,close,kLVf0CP3dqA
train,crow cawing,close,0u1yfeSUumk
train,crow cawing,close,ahOvnUn1o5g
train,crow cawing,close,-mXdhaci_C4
train,crow cawing,close,r6TEWBkR9x0
